001712,12/31/2011,2011,C,INDL,STD,D,USD,A,ARABIAN AMERICAN DEVELOPMENT,.,199.5170,0.1600
001715,10/31/2011,2011,C,INDL,STD,D,CAD,A,ARBOR MEMORIAL SERVICES INC,0.5750,264.3860,2.5880
001718,06/30/2011,2011,C,INDL,STD,D,USD,A,ADVANCED OXYGEN TECHNOLOGY,.,0.0420,0.0020
001722,06/30/2011,2011,C,INDL,STD,D,USD,A,ARCHER-DANIELS-MIDLAND CO,.,80676.0000,30.7000
001728,12/31/2011,2011,C,INDL,STD,D,USD,A,ARDEN GROUP INC  -CL A,1.3840,429.4830,2.1340
001742,12/31/2011,2011,C,INDL,STD,D,USD,A,ARIZONA PUBLIC SERVICE CO,.,3237.2410,6.5800
001743,12/31/2011,2011,C,INDL,STD,D,USD,A,ARKANSAS BEST CORP,.,1907.6090,10.8000
001745,12/31/2011,2011,C,INDL,STD,D,USD,A,ENTERGY ARKANSAS,.,2084.3100,1.3570
001773,12/31/2011,2011,C,INDL,STD,D,USD,A,ARROW ELECTRONICS INC,.,21390.2640,15.7000
001783,11/30/2011,2011,C,INDL,STD,D,USD,A,ARTS WAY MFG INC,.,27.6200,0.1600
001790,12/31/2011,2011,C,INDL,STD,D,CAD,A,ASBESTOS CORP LTD,.,2.3000,.
001794,09/30/2011,2011,C,INDL,STD,D,USD,A,ASHLAND INC,.,6502.0000,15.0000
001820,01/31/2011,2010,C,INDL,STD,D,USD,A,ASTRO-MED INC,.,71.0160,0.4230
001820,01/31/2012,2011,C,INDL,STD,D,USD,A,ASTRO-MED INC,-0.4500,79.1930,0.3720
001823,12/31/2011,2011,C,INDL,STD,D,USD,A,ASTRONICS CORP,.,228.1630,1.0810
001828,12/31/2011,2011,C,INDL,STD,D,CAD,A,ATCO LTD  -CL I,.,3991.0000,8.8910
001837,12/31/2011,2011,C,INDL,STD,D,USD,A,AGL RESOURCES INC,.,2338.0000,6.4000
001858,12/31/2011,2011,C,INDL,STD,D,USD,A,CEVA LOGISTICS INC-REDH,.,9600.0000,50.7370
001860,09/30/2011,2011,C,INDL,STD,D,USD,A,ATWOOD OCEANICS,.,645.0760,1.3000
001864,01/31/2011,2010,C,INDL,STD,D,USD,A,REX AMERICAN RESOURCES CORP,.,301.6740,0.0580
001864,01/31/2012,2011,C,INDL,STD,D,USD,A,REX AMERICAN RESOURCES CORP,1.8740,409.9520,0.1050
001868,12/31/2011,2011,C,INDL,STD,D,USD,A,ASSURANCEAMERICA CORP,.,56.4040,0.1480
001878,01/31/2011,2010,C,INDL,STD,D,USD,A,AUTODESK INC,.,1951.8000,6.8000
001878,01/31/2012,2011,C,INDL,STD,D,USD,A,AUTODESK INC,.,2215.6000,7.5000
001891,06/30/2011,2011,C,INDL,STD,D,USD,A,AUTOMATIC DATA PROCESSING,.,9879.5000,51.0000
001906,12/31/2011,2011,C,INDL,STD,D,USD,A,A V HOMES INC,.,87.8920,0.1000
001913,12/31/2011,2011,C,INDL,STD,D,USD,A,AVERY DENNISON CORP,3.6400,6026.3000,30.4000
001919,06/30/2011,2011,C,INDL,STD,D,USD,A,AVNET INC,.,26534.4130,17.6000
001920,12/31/2011,2011,C,INDL,STD,D,USD,A,AVON PRODUCTS,3.3800,11291.6000,40.6000
001926,02/28/2011,2010,C,INDL,STD,D,USD,A,AZZ INC,.,380.6490,1.9560
001926,02/29/2012,2011,C,INDL,STD,D,USD,A,AZZ INC,.,469.1120,2.1540
001932,12/31/2011,2011,C,INDL,STD,D,USD,A,BAT-BRITISH AMER TOBACCO PLC,.,24259.4720,56.2650
001949,09/30/2011,2011,C,INDL,STD,D,USD,A,BRT REALTY TRUST,.,18.2310,.
001951,08/31/2011,2011,C,INDL,STD,D,USD,A,BSD MEDICAL CORP/DE,.,3.0370,0.0410
001968,12/31/2011,2011,C,INDL,STD,D,USD,A,BADGER METER INC,.,262.9150,1.2200
001974,12/31/2011,2011,C,INDL,STD,D,USD,A,BAKER (MICHAEL) CORP,.,538.4240,3.2460
