"company","_freq","uname"
"TCG",139,"TCG"
"DNA",139,"DNA"
"DWP",140,"DWP"
"ISM",140,"ISM"
"AIB",141,"AIB"
"RPA",141,"RPA"
"CCH",141,"CCH"
"FDA",141,"FDA"
"NS",141,"NS"
"CMP",141,"CMP"
"EPO",142,"EPO"
"CAI",142,"CAI"
"ASC",142,"ASC"
"MAS",142,"MAS"
"SST",143,"SST"
"B&Q",143,"B&Q"
"FDC",143,"FDC"
"CSX",143,"CSX"
"PKF",144,"PKF"
"ICG",144,"ICG"
"BDC",145,"BDC"
"PSC",145,"PSC"
"SEC",146,"SEC"
"HLL",146,"HLL"
"EC",146,"EC"
"sbc",146,"SBC"
"DSC",146,"DSC"
"BAE",146,"BAE"
"IBC",146,"IBC"
"S3",147,"S3"
"AIM",147,"AIM"
"CME",147,"CME"
"MSC",147,"MSC"
"ADB",147,"ADB"
"DTO",148,"DTO"
"MCS",148,"MCS"
"UOP",148,"UOP"
"SPS",149,"SPS"
"CPA",149,"CPA"
"AMI",150,"AMI"
"KAZ",150,"KAZ"
"NNE",150,"NNE"
"SMI",150,"SMI"
"GTI",151,"GTI"
"ERG",151,"ERG"
"RTE",152,"RTE"
"FCI",152,"FCI"
"DCI",152,"DCI"
"PNC",154,"PNC"
"IAI",154,"IAI"
"DWS",154,"DWS"
"CMI",154,"CMI"
"gsk",154,"GSK"
"L&T",154,"L&T"
"GAP",155,"GAP"
"sgi",155,"SGI"
"CPI",155,"CPI"
"AIA",155,"AIA"
"S&P",155,"S&P"
"UAB",155,"UAB"
"RAF",155,"RAF"
"HVB",156,"HVB"
"SDL",156,"SDL"
"MMC",157,"MMC"
"QAS",158,"QAS"
"TJX",158,"TJX"
"FMV",158,"FMV"
"IBT",158,"IBT"
"PPG",158,"PPG"
"TSA",158,"TSA"
"NGC",159,"NGC"
"RMS",159,"RMS"
"TSC",159,"TSC"
"MNC",160,"MNC"
"IDA",160,"IDA"
"BCC",160,"BCC"
"CWI",160,"CWI"
"DHV",160,"DHV"
"A2M",160,"A2M"
"dhl",160,"DHL"
"BHP",161,"BHP"
"DDI",161,"DDI"
"BGI",161,"BGI"
"ICA",162,"ICA"
"TVA",162,"TVA"
"RSI",163,"RSI"
"MDS",163,"MDS"
"AIS",163,"AIS"
"IIR",163,"IIR"
"HTC",163,"HTC"
"IPS",163,"IPS"
"UTC",163,"UTC"
"ERM",164,"ERM"
"DSI",164,"DSI"
"aol",165,"AOL"
"GPT",165,"GPT"
"SMC",166,"SMC"
"APS",167,"APS"
"nhs",167,"NHS"
"NET",168,"NET"
"WHO",169,"WHO"
"BNP",170,"BNP"
"ENI",170,"ENI"
"LCC",171,"LCC"
"ing",172,"ING"
"SCI",172,"SCI"
"AST",173,"AST"
"IDS",173,"IDS"
"USG",175,"USG"
"CMA",176,"CMA"
"CGD",176,"CGD"
"BAH",176,"BAH"
"ACE",176,"ACE"
"EDP",177,"EDP"
"DTI",177,"DTI"
"Y&R",177,"Y&R"
"TBA",178,"TBA"
"EDC",178,"EDC"
"MPG",179,"MPG"
